Age,Sex,Race,Marital status?,Education,Incomes,Employement,book you read last 12m?,Read any printed books during last 12months?,Read any audiobooks during last 12months?,Read any e-books during last 12months?,Last book you read,Do you happen to read any daily news or newspapers?,Do you happen to read any magazines or journals?
77,Female,White,Married,High school graduate,Refused,Not employed for pay,97,Yes,No,Yes,Purchased the book,No,No
76,Female,White,Married,Post-graduate training/professional school after college,"$100,000 to under $150,000",Retired,97,Yes,No,No,Borrowed the book from a friend or family member,Yes,Yes
75,Female,White,Married,Post-graduate training/professional school after college,"$100,000 to under $150,000",Retired,97,Yes,No,No,Borrowed the book from a library,Yes,Yes
73,Male,White,Married,Post-graduate training/professional school after college,"$100,000 to under $150,000",Have own business/self-employed,97,Yes,No,No,Purchased the book,Yes,Yes
73,Male,White,Widowed,Post-graduate training/professional school after college,Refused,Retired,97,Yes,Yes,No,Borrowed the book from a library,Yes,Yes
73,Female,White,Married,College graduate,"$50,000 to under $75,000",Not employed for pay,97,Yes,No,Yes,Borrowed the book from a library,Yes,Yes
71,Female,White,Divorced,Post-graduate training/professional school after college,"9$100,000 to under $150,000",Retired,97,Yes,No,No,Borrowed the book from a library,Yes,No
70,Male,White,Married,Post-graduate training/professional school after college,"$75,000 to under $100,000",Retired,97,Yes,No,No,Purchased the book,Yes,Yes
70,Male,White,Married,Post-graduate training/professional school after college,"$100,000 to under $150,000",Retired,97,Yes,No,Yes,Purchased the book,Yes,Yes
69,Female,White,Married,College graduate,"$75,000 to under $100,000",Retired,97,Yes,No,No,Purchased the book,Yes,Yes
69,Female,White,Widowed,"Some college, no 4-year degree","Less than $10,000",Retired,97,Yes,No,No,Borrowed the book from a friend or family member,Yes,Yes
69,Female,White,Married,Post-graduate training/professional school after college,Refused,Retired,97,Yes,No,No,Borrowed the book from a library,Yes,No
68,Female,White,Married,High school graduate,"$30,000 to under $40,000",Employed part-time,97,Yes,No,No,Borrowed the book from a friend or family member,Yes,Yes
68,Female,White,Divorced,High school graduate,"$20,000 to under $30,000",Retired,97,Yes,No,No,Borrowed the book from a friend or family member,Yes,Yes
67,Male,White,Married,"Some college, no 4-year degree",Refused,Retired,97,Yes,No,No,Borrowed the book from a library,Yes,Yes
67,Female,White,Widowed,"Some college, no 4-year degree","$30,000 to under $40,000",Retired,97,Yes,No,No,Got the book some other way,Yes,Yes
67,Female,White,Married,High school incomplete,"$75,000 to under $100,000",Retired,97,Yes,No,Yes,Purchased the book,Yes,Yes
66,Female,White,Married,"Some college, no 4-year degree","$50,000 to under $75,000",Retired,97,Yes,No,No,Borrowed the book from a library,Yes,Yes
66,Female,White,Divorced,Post-graduate training/professional school after college,"$20,000 to under $30,000",Retired,97,Yes,No,No,Purchased the book,Yes,No
66,Female,White,Married,College graduate,"$100,000 to under $150,000",Retired,97,Yes,No,No,Purchased the book,No,No
66,Female,White,Married,College graduate,"$100,000 to under $150,000",Retired,97,Yes,No,Yes,Borrowed the book from a library,Yes,No
65,Female,White,Married,Post-graduate training/professional school after college,"$20,000 to under $30,000",Retired,97,Yes,No,No,Purchased the book,No,No
65,Male,White,Married,Post-graduate training/professional school after college,"$30,000 to under $40,000",Retired,97,Yes,No,No,Purchased the book,Yes,Yes
65,Female,White,Divorced,College graduate,"$10,000 to under $20,000",Retired,97,Yes,No,No,Got the book some other way,Yes,Yes
65,Female,White,Widowed,"Some college, no 4-year degree","$100,000 to under $150,000",Retired,97,Yes,No,Yes,Purchased the book,Yes,Yes
65,Female,White,Divorced,College graduate,"$75,000 to under $100,000",Employed full-time,97,Yes,No,No,Borrowed the book from a library,Yes,Yes
65,Female,White,Living with a partner,"Some college, no 4-year degree","$40,000 to under $50,000",Employed part-time,97,Yes,Yes,No,Purchased the book,Yes,Yes
65,Female,White,Divorced,"Some college, no 4-year degree","$20,000 to under $30,000",Retired,97,Yes,No,No,Borrowed the book from a library,Yes,Yes
64,Female,White,Married,Post-graduate training/professional school after college,"$100,000 to under $150,000",Retired,97,Yes,No,Yes,Purchased the book,Yes,Yes
64,Male,White,Married,Post-graduate training/professional school after college,"$100,000 to under $150,000",Retired,97,Yes,Yes,Yes,Purchased the book,Yes,Yes
64,Female,White,Widowed,High school graduate,Refused,Retired,97,Yes,Yes,Yes,Purchased the book,Yes,Yes
64,Male,White,Married,College graduate,"$100,000 to under $150,000",Employed full-time,97,Yes,No,Yes,Purchased the book,Yes,Yes
63,Female,White,Married,Post-graduate training/professional school after college,"$75,000 to under $100,000",Retired,97,Yes,Yes,Yes,Purchased the book,Yes,Yes
63,Female,White,Divorced,"Some college, no 4-year degree","$50,000 to under $75,000",Employed full-time,97,Yes,No,No,Purchased the book,Yes,Yes
62,Female,White,Divorced,College graduate,"$20,000 to under $30,000",Retired,97,Yes,Yes,Yes,Purchased the book,Yes,Yes
60,Female,White,Widowed,College graduate,"$100,000 to under $150,000",Employed full-time,97,Yes,Yes,Yes,Purchased the book,No,Yes
60,Female,White,Single,College graduate,"$50,000 to under $75,000",Employed full-time,97,Yes,Yes,Yes,Borrowed the book from a library,Yes,Yes
60,Female,White,Never been married,College graduate,"$50,000 to under $75,000",Employed part-time,97,Yes,No,Yes,Purchased the book,Yes,Yes
60,Female,White,Married,College graduate,"$50,000 to under $75,000",Employed full-time,97,Yes,No,Yes,Purchased the book,Yes,Yes
60,Female,White,Never been married,College graduate,"$20,000 to under $30,000",Retired,97,Yes,Yes,No,Purchased the book,Yes,No
59,Female,White,Married,Post-graduate training/professional school after college,Refused,Retired,97,Yes,Yes,No,Purchased the book,Yes,Yes
59,Female,White,Married,Post-graduate training/professional school after college,"$100,000 to under $150,000",Retired,97,Yes,Yes,No,Borrowed the book from a friend or family member,Yes,Yes
59,Female,White,Married,College graduate,"$100,000 to under $150,000",Employed full-time,97,Yes,No,Yes,Purchased the book,Yes,Yes
58,Female,White,Married,High school graduate,"$50,000 to under $75,000",Not employed for pay,97,Yes,No,No,Purchased the book,No,No
58,Male,White,Never been married,"Some college, no 4-year degree","$10,000 to under $20,000",Not employed for pay,97,Yes,No,No,Borrowed the book from a library,Yes,Yes
58,Female,White,Married,"Some college, no 4-year degree","$50,000 to under $75,000",Employed part-time,97,Yes,No,No,Borrowed the book from a library,Yes,No
58,Female,White,Married,Post-graduate training/professional school after college,"$100,000 to under $150,000",Other,97,Yes,No,No,Borrowed the book from a library,Yes,Yes
57,Female,White,Married,"Some college, no 4-year degree","$100,000 to under $150,000",Not employed for pay,97,Yes,Yes,Yes,Borrowed the book from a library,Yes,Yes
56,Female,White,Divorced,High school graduate,"$20,000 to under $30,000",Retired,97,Yes,No,No,Purchased the book,No,Yes
55,Female,White,Married,"Some college, no 4-year degree","$50,000 to under $75,000",Retired,97,Yes,Yes,Yes,Purchased the book,No,Yes
55,Female,White,Married,"Some college, no 4-year degree",Refused,Have own business/self-employed,97,Yes,No,Yes,Purchased the book,Yes,Yes
54,Female,White,Married,College graduate,Refused,Employed full-time,97,Yes,No,Yes,Borrowed the book from a library,Yes,Yes
53,Female,White,Divorced,High school graduate,"$30,000 to under $40,000",Employed full-time,97,Yes,No,No,Purchased the book,No,No
53,Male,White,Divorced,"Some college, no 4-year degree","$50,000 to under $75,000",Employed full-time,97,Yes,No,Yes,Purchased the book,No,Yes
52,Female,White,Married,College graduate,"$100,000 to under $150,000",Employed part-time,97,Yes,Yes,No,Purchased the book,Yes,Yes
52,Female,White,Married,College graduate,"$20,000 to under $30,000",Employed full-time,97,Yes,No,Yes,Got the book some other way,No,No
50,Female,White,Married,Post-graduate training/professional school after college,"$75,000 to under $100,000",Employed full-time,97,Yes,No,Yes,Purchased the book,Yes,Yes
50,Male,White,Married,College graduate,"$100,000 to under $150,000",Employed full-time,97,Yes,Yes,Yes,Purchased the book,Yes,Yes
50,Female,White,Married,High school incomplete,"Less than $10,000",Not employed for pay,97,Yes,No,No,Purchased the book,Yes,No
46,Female,White,Married,College graduate,"$30,000 to under $40,000",Have own business/self-employed,97,Yes,No,No,Borrowed the book from a library,Yes,Yes
46,Female,White,Married,College graduate,"$100,000 to under $150,000",Not employed for pay,97,Yes,No,No,Borrowed the book from a friend or family member,Yes,Yes
45,Male,White,Married,Post-graduate training/professional school after college,"$100,000 to under $150,000",Employed full-time,97,Yes,No,Yes,Purchased the book,Yes,Yes
44,Male,White,Married,"Some college, no 4-year degree","$50,000 to under $75,000",Employed full-time,97,Yes,No,Yes,Purchased the book,No,Yes
42,Female,White,Married,Post-graduate training/professional school after college,"$100,000 to under $150,000",Employed full-time,97,Yes,No,Yes,Borrowed the book from a library,Yes,Yes
41,Female,White,Married,College graduate,"$30,000 to under $40,000",Employed full-time,97,Yes,Yes,No,Borrowed the book from a library,No,Yes
40,Female,White,Married,Post-graduate training/professional school after college,"$100,000 to under $150,000",Employed full-time,97,Yes,No,Yes,Purchased the book,Yes,Yes
38,Male,White,Married,College graduate,Refused,Not employed for pay,97,Yes,No,Yes,Got the book some other way,Yes,Yes
38,Female,White,Married,College graduate,"$100,000 to under $150,000",Employed full-time,97,Yes,No,Yes,Purchased the book,No,Yes
38,Female,White,Married,College graduate,"$100,000 to under $150,000",Have own business/self-employed,97,Yes,No,Yes,Purchased the book,Yes,Yes
37,Female,White,Married,College graduate,"$40,000 to under $50,000",Employed part-time,97,Yes,No,Yes,Purchased the book,No,No
36,Female,White,Never been married,"Some college, no 4-year degree","$30,000 to under $40,000",Employed full-time,97,Yes,No,Yes,Purchased the book,No,No
35,Male,White,Single,High school graduate,"$10,000 to under $20,000",Not employed for pay,97,Yes,No,Yes,Purchased the book,Yes,Yes
35,Male,White,Married,"Some college, no 4-year degree","$20,000 to under $30,000",Have own business/self-employed,97,Yes,Yes,Yes,Purchased the book,Yes,Yes
34,Female,White,Married,College graduate,"$75,000 to under $100,000",Employed full-time,97,Yes,No,Yes,Borrowed the book from a library,No,Yes
34,Male,White,Married,High school graduate,"$40,000 to under $50,000",Employed full-time,97,Yes,Yes,No,Borrowed the book from a friend or family member,No,Yes
33,Female,White,Married,College graduate,"$100,000 to under $150,000",Employed full-time,97,Yes,No,Yes,Borrowed the book from a library,Yes,Yes
32,Female,White,Married,High school graduate,"$30,000 to under $40,000",Not employed for pay,97,Yes,No,No,Purchased the book,Yes,No
32,Female,White,Married,Post-graduate training/professional school after college,"$75,000 to under $100,000",Employed full-time,97,Yes,Yes,Yes,Purchased the book,Yes,Yes
32,Female,White,Never been married,Post-graduate training/professional school after college,"$50,000 to under $75,000",Employed full-time,97,Yes,No,No,Purchased the book,No,No
30,Female,White,Married,"Some college, no 4-year degree","$75,000 to under $100,000",Not employed for pay,97,Yes,No,Yes,Purchased the book,No,Yes
29,Female,White,Married,Post-graduate training/professional school after college,"$100,000 to under $150,000",Employed part-time,97,Yes,Yes,Yes,Purchased the book,Yes,No
28,Male,White,Married,"Some college, no 4-year degree","$50,000 to under $75,000",Employed full-time,97,Yes,Yes,Yes,Purchased the book,Yes,Yes
28,Male,White,Married,High school incomplete,"$40,000 to under $50,000",Employed full-time,97,Yes,No,No,Purchased the book,Yes,Yes
27,Male,White,Married,"Some college, no 4-year degree","$40,000 to under $50,000",Retired,97,Yes,No,No,Purchased the book,Yes,Yes
26,Male,White,Never been married,"Some college, no 4-year degree","$10,000 to under $20,000",Employed part-time,97,Yes,No,No,Purchased the book,No,No
25,Male,White,Never been married,Post-graduate training/professional school after college,"$100,000 to under $150,000",Employed part-time,97,Yes,No,No,Purchased the book,No,Yes
24,Female,White,Never been married,High school graduate,"9$100,000 to under $150,000",Not employed for pay,97,Yes,No,No,Purchased the book,No,Yes
24,Female,White,Never been married,College graduate,"$20,000 to under $30,000",Employed full-time,97,Yes,No,Yes,Purchased the book,No,No
23,Female,White,Married,"Some college, no 4-year degree","Less than $10,000",Not employed for pay,97,Yes,Yes,No,Purchased the book,No,No
23,Female,White,Never been married,"Some college, no 4-year degree","$20,000 to under $30,000",Employed full-time,97,Yes,No,No,Borrowed the book from a friend or family member,No,Yes
22,Male,White,Married,"Technical, trade or vocational school AFTER high school","$10,000 to under $20,000",Employed full-time,97,Yes,No,Yes,Purchased the book,Yes,Yes
22,Male,White,Never been married,Post-graduate training/professional school after college,"$10,000 to under $20,000",Employed part-time,97,Yes,Yes,Yes,Got the book some other way,Yes,Yes
21,Male,White,Living with a partner,"Some college, no 4-year degree","Less than $10,000",Employed part-time,97,Yes,No,Yes,Borrowed the book from a library,Yes,Yes
20,Female,White,Living with a partner,High school graduate,"$20,000 to under $30,000",Employed part-time,97,Yes,No,Yes,Purchased the book,Yes,Yes
19,Female,White,Never been married,"Some college, no 4-year degree","9$100,000 to under $150,000",Not employed for pay,97,Yes,No,Yes,Purchased the book,No,No
18,Female,White,Never been married,"Some college, no 4-year degree","9$100,000 to under $150,000",Not employed for pay,97,Yes,No,No,Purchased the book,Yes,No
18,Female,White,Living with a partner,"Some college, no 4-year degree","$30,000 to under $40,000",Not employed for pay,97,Yes,No,No,Got the book some other way,Yes,No
17,Female,White,Never been married,High school incomplete,"9$100,000 to under $150,000",Not employed for pay,97,Yes,No,No,Borrowed the book from a friend or family member,No,No
17,Female,White,Never been married,High school incomplete,"9$100,000 to under $150,000",Employed part-time,97,Yes,No,No,Borrowed the book from a friend or family member,No,No
16,Female,White,Never been married,High school incomplete,"$100,000 to under $150,000",Not employed for pay,97,Yes,No,No,Purchased the book,Yes,Yes
16,Female,White,Never been married,High school incomplete,"9$100,000 to under $150,000",Not employed for pay,97,Yes,No,No,Borrowed the book from a library,No,No
64,Female,Native American/American Indian,Divorced,"Some college, no 4-year degree","$50,000 to under $75,000",Retired,96,Yes,No,No,Purchased the book,Yes,Yes
40,Male,Black or African-American,Divorced,High school graduate,"Less than $10,000",Retired,96,Yes,No,No,Purchased the book,Yes,Yes
67,Male,White,Married,Post-graduate training/professional school after college,"$100,000 to under $150,000",Employed full-time,96,Yes,Yes,Yes,Purchased the book,Yes,Yes
66,Male,White,Married,Post-graduate training/professional school after college,"$100,000 to under $150,000",Retired,96,Yes,Yes,No,Borrowed the book from a friend or family member,No,Yes
65,Female,White,Divorced,Post-graduate training/professional school after college,"$50,000 to under $75,000",Employed full-time,96,Yes,No,No,Borrowed the book from a library,No,Yes
57,Female,White,Divorced,"Technical, trade or vocational school AFTER high school","$20,000 to under $30,000",Employed full-time,96,Yes,No,No,Purchased the book,No,Yes
57,Female,White,Married,High school graduate,"$100,000 to under $150,000",Retired,96,Yes,No,Yes,Purchased the book,No,No
56,Female,White,Married,"Some college, no 4-year degree","$75,000 to under $100,000",Employed full-time,96,Yes,Yes,Yes,Borrowed the book from a library,No,Yes
53,Female,White,Married,Post-graduate training/professional school after college,"$75,000 to under $100,000",Employed full-time,96,Yes,No,No,Purchased the book,No,Yes
53,Female,White,Married,"Some college, no 4-year degree",Refused,Employed full-time,96,Yes,Yes,No,Purchased the book,Yes,Yes
52,Female,White,Never been married,Post-graduate training/professional school after college,"9$100,000 to under $150,000",Employed part-time,96,Yes,Yes,No,Purchased the book,No,Yes
52,Male,White,Married,Post-graduate training/professional school after college,"$100,000 to under $150,000",Employed full-time,96,Yes,Yes,Yes,Purchased the book,Yes,Yes
48,Female,White,Married,"Some college, no 4-year degree","$75,000 to under $100,000",Employed full-time,96,Yes,No,Yes,Purchased the book,Yes,Yes
47,Female,White,Married,"Some college, no 4-year degree","$50,000 to under $75,000",Employed part-time,96,Yes,No,Yes,Purchased the book,Yes,Yes
28,Female,White,Single,"Some college, no 4-year degree","$10,000 to under $20,000",Employed full-time,96,Yes,Yes,Yes,Purchased the book,No,Yes
74,Male,White,Married,High school graduate,Refused,Retired,90,Yes,No,No,Borrowed the book from a library,Yes,No
33,Male,White,Married,Post-graduate training/professional school after college,"$75,000 to under $100,000",Employed full-time,90,Yes,Yes,No,Borrowed the book from a library,Yes,No
47,Female,White,Married,"Some college, no 4-year degree","$50,000 to under $75,000",Employed full-time,84,Yes,No,No,Purchased the book,Yes,Yes
53,Female,Black or African-American,Married,Post-graduate training/professional school after college,"$100,000 to under $150,000",Employed full-time,80,Yes,Yes,Yes,Purchased the book,Yes,Yes
69,Female,White,Never been married,Post-graduate training/professional school after college,"$50,000 to under $75,000",Retired,80,Yes,Yes,No,Got the book some other way,No,Yes
65,Female,White,Married,High school graduate,Refused,Retired,80,Yes,No,No,Purchased the book,Yes,No
64,Female,White,Married,"Some college, no 4-year degree",Refused,Retired,80,Yes,Yes,No,Purchased the book,No,Yes
54,Female,White,Living with a partner,"Some college, no 4-year degree","$30,000 to under $40,000",Disabled,80,Yes,No,No,Got the book some other way,Yes,No
18,Male,White,Single,High school graduate,"Less than $10,000",Employed full-time,80,Yes,No,Yes,Purchased the book,No,No
65,Male,White,Married,Post-graduate training/professional school after college,"$100,000 to under $150,000",Employed part-time,76,No,No,Yes,Purchased the book,Yes,Yes
24,Male,Mixed race,Never been married,Post-graduate training/professional school after college,"$50,000 to under $75,000",Not employed for pay,75,Yes,No,Yes,Purchased the book,Yes,No
54,Female,Black or African-American,Married,High school graduate,"$30,000 to under $40,000",Employed full-time,75,Yes,No,No,Borrowed the book from a friend or family member,Yes,No
81,Female,White,Widowed,College graduate,"$75,000 to under $100,000",Not employed for pay,75,Yes,Yes,No,Borrowed the book from a library,Yes,Yes
78,Female,White,Widowed,High school graduate,"9$100,000 to under $150,000",Retired,75,Yes,No,No,Got the book some other way,Yes,No
73,Female,White,Married,College graduate,"$30,000 to under $40,000",Employed part-time,75,Yes,No,No,Purchased the book,Yes,Yes
68,Female,White,Widowed,"Some college, no 4-year degree","$10,000 to under $20,000",Retired,75,Yes,No,No,Borrowed the book from a friend or family member,Yes,No
65,Female,White,Divorced,High school graduate,"$30,000 to under $40,000",Retired,75,Yes,No,No,Borrowed the book from a library,Yes,No
62,Female,White,Married,"Some college, no 4-year degree","$100,000 to under $150,000",Employed full-time,75,Yes,No,No,Purchased the book,Yes,Yes
61,Female,White,Married,High school graduate,"$100,000 to under $150,000",Retired,75,Yes,Yes,No,Purchased the book,Yes,Yes
55,Female,White,Widowed,College graduate,"$40,000 to under $50,000",Employed full-time,75,Yes,No,No,Got the book some other way,Yes,No
48,Female,White,Married,College graduate,"9$100,000 to under $150,000",Not employed for pay,75,Yes,Yes,No,Borrowed the book from a friend or family member,Yes,Yes
48,Male,White,Never been married,Post-graduate training/professional school after college,"$50,000 to under $75,000",Employed full-time,75,Yes,No,Yes,Purchased the book,Yes,Yes
45,Female,White,Never been married,Post-graduate training/professional school after college,Refused,Employed full-time,75,Yes,Yes,Yes,Borrowed the book from a library,Yes,Yes
39,Male,White,Married,College graduate,"$100,000 to under $150,000",Employed full-time,75,Yes,No,Yes,Borrowed the book from a friend or family member,No,No
55,Male,Black or African-American,Separated,High school graduate,"$10,000 to under $20,000",Retired,70,Yes,No,No,Got the book some other way,No,Yes
84,Female,White,Married,"Technical, trade or vocational school AFTER high school","9$100,000 to under $150,000",Retired,70,Yes,Yes,No,Got the book some other way,Yes,No
64,Female,White,Divorced,High school graduate,"$30,000 to under $40,000",Employed full-time,70,Yes,No,No,Purchased the book,Yes,Yes
60,Male,White,Married,Post-graduate training/professional school after college,Refused,Employed full-time,70,Yes,Yes,Yes,Borrowed the book from a library,Yes,No
58,Female,White,Married,Post-graduate training/professional school after college,"$100,000 to under $150,000",Not employed for pay,70,Yes,Yes,Yes,Purchased the book,No,Yes
53,Female,White,Married,High school graduate,"$75,000 to under $100,000",Employed full-time,70,Yes,No,Yes,Got the book some other way,No,No
31,Female,White,Never been married,Post-graduate training/professional school after college,"$50,000 to under $75,000",Employed full-time,70,Yes,No,Yes,Purchased the book,No,Yes
22,Female,White,Married,High school graduate,"Less than $10,000",Employed part-time,70,Yes,No,No,Purchased the book,No,No
21,Female,White,Never been married,"Some college, no 4-year degree","Less than $10,000",Not employed for pay,70,Yes,No,No,Borrowed the book from a friend or family member,No,No
16,Female,White,Single,High school incomplete,"9$100,000 to under $150,000",Not employed for pay,70,Yes,No,No,Borrowed the book from a library,Yes,Yes
61,Female,White,Married,Post-graduate training/professional school after college,"$100,000 to under $150,000",Employed full-time,67,Yes,Yes,Yes,Borrowed the book from a library,Yes,Yes
40,Male,White,Married,High school graduate,"Less than $10,000",Not employed for pay,65,Yes,No,No,Purchased the book,No,Yes
27,Male,White,Never been married,Post-graduate training/professional school after college,"$50,000 to under $75,000",Employed full-time,65,No,No,Yes,Purchased the book,Yes,Yes
35,Male,Native American/American Indian,Never been married,High school graduate,"$100,000 to under $150,000",Employed full-time,60,Yes,No,No,Purchased the book,Yes,Yes
50,Female,Black or African-American,Never been married,"Some college, no 4-year degree","$50,000 to under $75,000",Not employed for pay,60,Yes,No,Yes,Purchased the book,No,Yes
45,Female,Black or African-American,Married,College graduate,"$100,000 to under $150,000",Employed full-time,60,Yes,Yes,Yes,Got the book some other way,No,Yes
16,Male,Black or African-American,Never been married,High school incomplete,"Less than $10,000",Employed full-time,60,Yes,Yes,No,Purchased the book,Yes,Yes
66,Female,White,Married,Post-graduate training/professional school after college,"$50,000 to under $75,000",Retired,60,Yes,Yes,No,Borrowed the book from a library,Yes,Yes
66,Female,White,Divorced,College graduate,"$100,000 to under $150,000",Employed full-time,60,Yes,No,No,Purchased the book,Yes,Yes
65,Female,White,Married,College graduate,"$50,000 to under $75,000",Retired,60,Yes,Yes,No,Purchased the book,Yes,Yes
62,Female,White,Widowed,College graduate,"$40,000 to under $50,000",Retired,60,Yes,No,No,Borrowed the book from a friend or family member,Yes,Yes
61,Male,White,Married,Post-graduate training/professional school after college,"$50,000 to under $75,000",Employed full-time,60,Yes,No,Yes,Purchased the book,No,Yes
60,Male,White,Married,College graduate,"$100,000 to under $150,000",Employed full-time,60,Yes,Yes,No,Purchased the book,Yes,No
60,Female,White,Married,College graduate,Refused,Retired,60,Yes,Yes,Yes,Purchased the book,Yes,Yes
58,Female,White,Widowed,High school graduate,"$30,000 to under $40,000",Employed full-time,60,Yes,No,No,Borrowed the book from a friend or family member,Yes,Yes
53,Male,White,Married,College graduate,"$75,000 to under $100,000",Employed full-time,60,Yes,Yes,Yes,Purchased the book,Yes,Yes
51,Female,White,Married,Post-graduate training/professional school after college,"$100,000 to under $150,000",Employed full-time,60,Yes,No,Yes,Purchased the book,Yes,Yes
39,Female,White,Married,Post-graduate training/professional school after college,"$100,000 to under $150,000",Employed part-time,60,Yes,No,No,Borrowed the book from a library,Yes,Yes
38,Male,White,Divorced,College graduate,"$40,000 to under $50,000",Employed full-time,60,Yes,No,No,Purchased the book,Yes,Yes
23,Female,White,Never been married,College graduate,"9$100,000 to under $150,000",Employed part-time,60,Yes,Yes,No,Borrowed the book from a friend or family member,Yes,Yes
22,Male,White,Never been married,"Some college, no 4-year degree","9$100,000 to under $150,000",Not employed for pay,60,Yes,Yes,No,Purchased the book,Yes,Yes
21,Female,White,Never been married,"Some college, no 4-year degree","9$100,000 to under $150,000",Not employed for pay,60,Yes,No,Yes,Purchased the book,No,No
34,Male,Refused,Married,"Some college, no 4-year degree",Refused,Employed full-time,55,Yes,Yes,Yes,Purchased the book,Yes,Yes
81,Male,White,Married,High school graduate,Refused,Retired,55,Yes,No,No,Got the book some other way,Yes,No
66,Female,White,Living with a partner,High school graduate,"$40,000 to under $50,000",Retired,55,Yes,No,Yes,Purchased the book,Yes,No
47,Female,White,Divorced,High school graduate,"$20,000 to under $30,000",Employed part-time,54,Yes,No,Yes,Borrowed the book from a library,No,No
68,Female,White,Married,Post-graduate training/professional school after college,Refused,Employed full-time,52,Yes,Yes,No,Borrowed the book from a library,Yes,Yes
29,Female,White,Married,Post-graduate training/professional school after college,"$75,000 to under $100,000",Employed full-time,52,Yes,No,Yes,Purchased the book,No,No
21,Male,White,Married,High school incomplete,"$30,000 to under $40,000",Employed full-time,51,Yes,No,No,Got the book some other way,No,Yes
66,Male,Refused,Married,College graduate,"9$100,000 to under $150,000",Employed part-time,50,Yes,No,No,Purchased the book,Yes,No
50,Male,Refused,Never been married,High school graduate,Refused,Retired,50,Yes,No,No,Purchased the book,Yes,No
26,Male,Refused,Married,"Some college, no 4-year degree",Refused,Employed full-time,50,Yes,No,No,Purchased the book,No,No
56,Female,White,Married,Post-graduate training/professional school after college,Refused,Other,50,Yes,No,Yes,Purchased the book,Yes,Yes
37,Male,Other,Single,High school graduate,"Less than $10,000",Retired,50,Yes,No,No,Purchased the book,Yes,Yes
16,Male,Other,Never been married,High school incomplete,"$30,000 to under $40,000",Employed part-time,50,Yes,No,No,Purchased the book,No,Yes
